class 名稱,分類,樣式（全部值）,使用範例
flex-col-reverse,顯示/佈局,flex-direction:column-reverse,"class=""flex-col-reverse"""
flex-none,顯示/佈局,flex:none,"class=""flex-none"""
flex-nowrap,顯示/佈局,flex-wrap:nowrap,"class=""flex-nowrap"""
flex-row,顯示/佈局,flex-direction:row,"class=""flex-row"""
flex-row-reverse,顯示/佈局,flex-direction:row-reverse,"class=""flex-row-reverse"""
flex-shrink,顯示/佈局,flex-shrink:1,"class=""flex-shrink"""
flex-shrink-0,顯示/佈局,flex-shrink:0,"class=""flex-shrink-0"""
flex-wrap,顯示/佈局,flex-wrap:wrap,"class=""flex-wrap"""
grid,顯示/佈局,display:grid,"class=""grid"""
grid-cols-1,顯示/佈局,"grid-template-columns:repeat(1,minmax(0,1fr))","class=""grid-cols-1"""
grid-cols-2,顯示/佈局,"grid-template-columns:repeat(2,minmax(0,1fr))","class=""grid-cols-2"""
grid-cols-3,顯示/佈局,"grid-template-columns:repeat(3,minmax(0,1fr))","class=""grid-cols-3"""
grid-cols-4,顯示/佈局,"grid-template-columns:repeat(4,minmax(0,1fr))","class=""grid-cols-4"""
grid-cols-5,顯示/佈局,"grid-template-columns:repeat(5,minmax(0,1fr))","class=""grid-cols-5"""
grow,顯示/佈局,flex-grow:1,"class=""grow"""
grow-0,顯示/佈局,flex-grow:0,"class=""grow-0"""
hidden,顯示/佈局,display:none,"class=""hidden"""
inline,顯示/佈局,display:inline,"class=""inline"""
inline-block,顯示/佈局,display:inline-block,"class=""inline-block"""
inline-flex,顯示/佈局,display:inline-flex,"class=""inline-flex"""
inset-x-0,顯示/佈局,inset-inline:calc(var(--spacing)*0),"class=""inset-x-0"""
invisible,顯示/佈局,visibility:hidden,"class=""invisible"""
items-end,顯示/佈局,align-items:flex-end,"class=""items-end"""
items-start,顯示/佈局,align-items:flex-start,"class=""items-start"""
justify-end,顯示/佈局,justify-content:flex-end,"class=""justify-end"""
justify-start,顯示/佈局,justify-content:flex-start,"class=""justify-start"""
line-clamp-2,顯示/佈局,-webkit-box-orient:vertical; display:-webkit-box; overflow:hidden | -webkit-line-clamp:2,"class=""line-clamp-2"""
line-clamp-4,顯示/佈局,-webkit-box-orient:vertical; display:-webkit-box; overflow:hidden | -webkit-line-clamp:4,"class=""line-clamp-4"""
line-clamp-6,顯示/佈局,-webkit-line-clamp:6; -webkit-box-orient:vertical; display:-webkit-box; overflow:hidden,"class=""line-clamp-6"""
mx-1,顯示/佈局,margin-inline:calc(var(--spacing)*1),"class=""mx-1"""
mx-2,顯示/佈局,margin-inline:calc(var(--spacing)*2),"class=""mx-2"""
mx-4,顯示/佈局,margin-inline:calc(var(--spacing)*4),"class=""mx-4"""
mx-auto,顯示/佈局,margin-inline:auto,"class=""mx-auto"""
my-1,顯示/佈局,margin-block:calc(var(--spacing)*1),"class=""my-1"""
my-2,顯示/佈局,margin-block:calc(var(--spacing)*2),"class=""my-2"""
my-3,顯示/佈局,margin-block:calc(var(--spacing)*3),"class=""my-3"""
my-4,顯示/佈局,margin-block:calc(var(--spacing)*4),"class=""my-4"""
my-6,顯示/佈局,margin-block:calc(var(--spacing)*6),"class=""my-6"""
official-creator,顯示/佈局,cursor:pointer; align-items:center; gap:calc(var(--spacing)*1); border-radius:var(--radius-md); border-style:var(--tw-border-style); border-width:1px; border-color:var(--color-official-creator); background-color:var(--color-zinc-950); padding-inline:calc(var(--spacing)*2); padding-block:calc(var(--s,"class=""official-creator"""
outline-hidden,顯示/佈局,--tw-outline-style:none; outline-style:none | outline-offset:2px; outline:2px solid #0000,"class=""outline-hidden"""
overflow-hidden,顯示/佈局,overflow:hidden,"class=""overflow-hidden"""
overflow-x-hidden,顯示/佈局,overflow-x:hidden,"class=""overflow-x-hidden"""
overflow-y-hidden,顯示/佈局,overflow-y:hidden,"class=""overflow-y-hidden"""
px-0,顯示/佈局,padding-inline:calc(var(--spacing)*0),"class=""px-0"""
px-1,顯示/佈局,padding-inline:calc(var(--spacing)*1),"class=""px-1"""
px-10,顯示/佈局,padding-inline:calc(var(--spacing)*10),"class=""px-10"""
px-2,顯示/佈局,padding-inline:calc(var(--spacing)*2),"class=""px-2"""
px-3,顯示/佈局,padding-inline:calc(var(--spacing)*3),"class=""px-3"""
px-4,顯示/佈局,padding-inline:calc(var(--spacing)*4),"class=""px-4"""
px-5,顯示/佈局,padding-inline:calc(var(--spacing)*5),"class=""px-5"""
px-6,顯示/佈局,padding-inline:calc(var(--spacing)*6),"class=""px-6"""
px-8,顯示/佈局,padding-inline:calc(var(--spacing)*8),"class=""px-8"""
px-9,顯示/佈局,padding-inline:calc(var(--spacing)*9),"class=""px-9"""
py-0,顯示/佈局,padding-block:calc(var(--spacing)*0),"class=""py-0"""
py-1,顯示/佈局,padding-block:calc(var(--spacing)*1),"class=""py-1"""
py-10,顯示/佈局,padding-block:calc(var(--spacing)*10),"class=""py-10"""
py-12,顯示/佈局,padding-block:calc(var(--spacing)*12),"class=""py-12"""
py-16,顯示/佈局,padding-block:calc(var(--spacing)*16),"class=""py-16"""
py-2,顯示/佈局,padding-block:calc(var(--spacing)*2),"class=""py-2"""
py-20,顯示/佈局,padding-block:calc(var(--spacing)*20),"class=""py-20"""
py-3,顯示/佈局,padding-block:calc(var(--spacing)*3),"class=""py-3"""
py-4,顯示/佈局,padding-block:calc(var(--spacing)*4),"class=""py-4"""
py-5,顯示/佈局,padding-block:calc(var(--spacing)*5),"class=""py-5"""
py-6,顯示/佈局,padding-block:calc(var(--spacing)*6),"class=""py-6"""
py-7,顯示/佈局,padding-block:calc(var(--spacing)*7),"class=""py-7"""
py-8,顯示/佈局,padding-block:calc(var(--spacing)*8),"class=""py-8"""
related-character-grid,顯示/佈局,"grid-template-columns:repeat(4,minmax(150px,180px)) | grid-template-columns:repeat(3,minmax(150px,180px)) | grid-template-columns:repeat(2,minmax(150px,180px))","class=""related-character-grid"""
scroll-my-1,顯示/佈局,scroll-margin-block:calc(var(--spacing)*1),"class=""scroll-my-1"""
self-end,顯示/佈局,align-self:flex-end,"class=""self-end"""
self-start,顯示/佈局,align-self:flex-start,"class=""self-start"""
shrink,顯示/佈局,flex-shrink:1,"class=""shrink"""
shrink-0,顯示/佈局,flex-shrink:0,"class=""shrink-0"""
snapshot-wall-masonry,顯示/佈局,width:auto; margin-left:-16px; display:flex,"class=""snapshot-wall-masonry"""
sr-only,顯示/佈局,clip-path:inset(50%); white-space:nowrap; border-width:0; width:1px; height:1px; margin:-1px; padding:0; overflow:hidden | position:absolute,"class=""sr-only"""
table,顯示/佈局,display:table,"class=""table"""
transition,顯示/佈局,"transition-property:color,background-color,border-color,outline-color,text-decoration-color,fill,stroke,--tw-gradient-from,--tw-gradient-via,--tw-gradient-to,opacity,box-shadow,transform,translate,scale,rotate,filter,-webkit-backdrop-filter,backdrop-filter,display,content-visibility,overlay,pointer-","class=""transition"""
truncate,顯示/佈局,text-overflow:ellipsis; white-space:nowrap; overflow:hidden,"class=""truncate"""
