class 名稱,分類,樣式（全部值）,使用範例
bg-linear-to-t,定位,--tw-gradient-position:to top | --tw-gradient-position:to top in oklab | background-image:linear-gradient(var(--tw-gradient-stops)),"class=""bg-linear-to-t"""
blur-lg,定位,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotate,)var(--tw-invert,)var(--tw-saturate,)var(--tw-sepia,)var(--tw-drop-shadow,) | --tw-blur:blur(var(--blur-lg))","class=""blur-lg"""
blur-xl,定位,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotate,)var(--tw-invert,)var(--tw-saturate,)var(--tw-sepia,)var(--tw-drop-shadow,) | --tw-blur:blur(var(--blur-xl))","class=""blur-xl"""
border-b,定位,border-bottom-style:var(--tw-border-style); border-bottom-width:1px,"class=""border-b"""
border-b-2,定位,border-bottom-style:var(--tw-border-style); border-bottom-width:2px,"class=""border-b-2"""
border-b-4,定位,border-bottom-style:var(--tw-border-style); border-bottom-width:4px,"class=""border-b-4"""
border-b-dgray-700,定位,border-bottom-color:var(--color-dgray-700),"class=""border-b-dgray-700"""
border-l,定位,border-left-style:var(--tw-border-style); border-left-width:1px,"class=""border-l"""
border-l-0,定位,border-left-style:var(--tw-border-style); border-left-width:0,"class=""border-l-0"""
border-l-2,定位,border-left-style:var(--tw-border-style); border-left-width:2px,"class=""border-l-2"""
border-l-3,定位,border-left-style:var(--tw-border-style); border-left-width:3px,"class=""border-l-3"""
border-r,定位,border-right-style:var(--tw-border-style); border-right-width:1px,"class=""border-r"""
border-r-0,定位,border-right-style:var(--tw-border-style); border-right-width:0,"class=""border-r-0"""
border-t,定位,border-top-style:var(--tw-border-style); border-top-width:1px,"class=""border-t"""
border-t-0,定位,border-top-style:var(--tw-border-style); border-top-width:0,"class=""border-t-0"""
border-t-2,定位,border-top-style:var(--tw-border-style); border-top-width:2px,"class=""border-t-2"""
border-t-primary,定位,border-top-color:var(--color-primary),"class=""border-t-primary"""
bottom-0,定位,bottom:calc(var(--spacing)*0),"class=""bottom-0"""
bottom-1,定位,bottom:calc(var(--spacing)*1),"class=""bottom-1"""
bottom-10,定位,bottom:calc(var(--spacing)*10),"class=""bottom-10"""
bottom-2,定位,bottom:calc(var(--spacing)*2),"class=""bottom-2"""
bottom-3,定位,bottom:calc(var(--spacing)*3),"class=""bottom-3"""
bottom-bar-gradient,定位,"background-image:linear-gradient(#26272700,#26272714 6%,#26272729 8%,#2627273d 10%,#26272752 11%,#26272766 12%,#26272778 13%,#2627278c 14%,#262727a1 15%,#262727b5 16%,#262727c9 17%,#262727de 19%,#262727e0 21%,#262727e3 23%,#262727e8 25%,#262727eb 28%,#262727ed 31%,#262727f0 35%,#262727f2 40%,#262727 | background-image:linear-gradient(#d4d2d200,#d4d2d214 6%,#d4d2d229 8%,#d4d2d23d 10%,#d4d2d252 11%,#d4d2d266 12%,#d4d2d278 13%,#d4d2d28c 14%,#d4d2d2a1 15%,#d4d2d2b5 16%,#d4d2d2c9 17%,#d4d2d2de 19%,#d4d2d2e0 21%,#d4d2d2e3 23%,#d4d2d2e8 25%,#d4d2d2eb 28%,#d4d2d2ed 31%,#d4d2d2f0 35%,#d4d2d2f2 40%,#d4d2d2","class=""bottom-bar-gradient"""
bottom-full,定位,bottom:100%,"class=""bottom-full"""
brightness-100,定位,--tw-brightness:brightness(100%),"class=""brightness-100"""
brightness-50,定位,--tw-brightness:brightness(50%),"class=""brightness-50"""
brightness-75,定位,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotate,)var(--tw-invert,)var(--tw-saturate,)var(--tw-sepia,)var(--tw-drop-shadow,) | --tw-brightness:brightness(75%)","class=""brightness-75"""
character-card-overlay,定位,"z-index:10; pointer-events:none; background:linear-gradient(0deg,#000000cf,#000000ce 5% 10%,#000c 15%,#000000c8 20%,#000000c1 25%,#000000b6 30%,#000000a4 35%,#0000008b 40%,#00000067 45%,#0004 50%,#0000002b 55%,#00000019 60%,#0000000d 65%,#00000006 70%,#00000003 75%,#00000001 80%,#0000 85% 90%,#0000 ","class=""character-card-overlay"""
drop-shadow-2xl,定位,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotate,)var(--tw-invert,)var(--tw-saturate,)var(--tw-sepia,)var(--tw-drop-shadow,) | --tw-drop-shadow-size:drop-shadow(0 25px 25px var(--tw-drop-shadow-color,#00000026)); --tw-drop-shadow:drop-shadow(var(--drop-shadow-2xl))","class=""drop-shadow-2xl"""
drop-shadow-lg,定位,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotate,)var(--tw-invert,)var(--tw-saturate,)var(--tw-sepia,)var(--tw-drop-shadow,) | --tw-drop-shadow-size:drop-shadow(0 4px 4px var(--tw-drop-shadow-color,#00000026)); --tw-drop-shadow:drop-shadow(var(--drop-shadow-lg))","class=""drop-shadow-lg"""
fixed,定位,position:fixed,"class=""fixed"""
from-background-700,定位,"--tw-gradient-from:var(--color-background-700); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""from-background-700"""
from-black,定位,"--tw-gradient-from:var(--color-black); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""from-black"""
from-blue-500,定位,"--tw-gradient-from:var(--color-blue-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""from-blue-500"""
from-blue-800,定位,"--tw-gradient-from:var(--color-blue-800); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""from-blue-800"""
from-cyan-500,定位,"--tw-gradient-from:var(--color-cyan-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""from-cyan-500"""
from-duck-pink2,定位,"--tw-gradient-from:var(--color-duck-pink2); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""from-duck-pink2"""
