函式庫,變數名稱,預設值
Tailwind CSS, --tw-prose-headings,oklch(21% .034 264.665)
Tailwind CSS, --tw-prose-lead,oklch(44.6% .03 256.802)
Tailwind CSS, --tw-prose-links,oklch(21% .034 264.665)
Tailwind CSS, --tw-prose-bold,oklch(21% .034 264.665)
Tailwind CSS, --tw-prose-counters,oklch(55.1% .027 264.364)
Tailwind CSS, --tw-prose-bullets,oklch(87.2% .01 258.338)
Tailwind CSS, --tw-prose-hr,oklch(92.8% .006 264.531)
Tailwind CSS, --tw-prose-quotes,oklch(21% .034 264.665)
Tailwind CSS, --tw-prose-quote-borders,oklch(92.8% .006 264.531)
Tailwind CSS, --tw-prose-captions,oklch(55.1% .027 264.364)
Tailwind CSS, --tw-prose-kbd,oklch(21% .034 264.665)
Tailwind CSS, --tw-prose-kbd-shadows,oklab(21% -.00316127 -.0338527/.1)
Tailwind CSS, --tw-prose-code,oklch(21% .034 264.665)
Tailwind CSS, --tw-prose-pre-code,oklch(92.8% .006 264.531)
Tailwind CSS, --tw-prose-pre-bg,oklch(27.8% .033 256.848)
Tailwind CSS, --tw-prose-th-borders,oklch(87.2% .01 258.338)
Tailwind CSS, --tw-prose-td-borders,oklch(92.8% .006 264.531)
Tailwind CSS, --tw-prose-invert-body,oklch(87.2% .01 258.338)
Tailwind CSS, --tw-prose-invert-headings,#fff
Tailwind CSS, --tw-prose-invert-lead,oklch(70.7% .022 261.325)
Tailwind CSS, --tw-prose-invert-links,#fff
Tailwind CSS, --tw-prose-invert-bold,#fff
Tailwind CSS, --tw-prose-invert-counters,oklch(70.7% .022 261.325)
Tailwind CSS, --tw-prose-invert-bullets,oklch(44.6% .03 256.802)
Tailwind CSS, --tw-prose-invert-hr,oklch(37.3% .034 259.733)
Tailwind CSS, --tw-prose-invert-quotes,oklch(96.7% .003 264.542)
Tailwind CSS, --tw-prose-invert-quote-borders,oklch(37.3% .034 259.733)
Tailwind CSS, --tw-prose-invert-captions,oklch(70.7% .022 261.325)
Tailwind CSS, --tw-prose-invert-kbd,#fff
Tailwind CSS, --tw-prose-invert-kbd-shadows,#ffffff1a
Tailwind CSS, --tw-prose-invert-code,#fff
Tailwind CSS, --tw-prose-invert-pre-code,oklch(87.2% .01 258.338)
Tailwind CSS, --tw-prose-invert-pre-bg,#00000080
Tailwind CSS, --tw-prose-invert-th-borders,oklch(44.6% .03 256.802)
