標籤,屬性選擇器,選擇器原文,狀態,主要樣式
"a, button, summary","role=button, role=tabpanel, tabindex=""0""",".markdown-body [role=button]:focus:not(:focus-visible),.markdown-body [role=tabpanel][tabindex=""0""]:focus:not(:focus-vis",✓ 支援,outline:none; box-shadow:none
"details, dialog","tabindex=""0""",".markdown-body [tabindex=""0""]:focus:not(:focus-visible),.markdown-body details-dialog:focus:not(:focus-visible)",✓ 支援,outline:none
img,,.markdown-body g-emoji img,✓ 支援,width:1em; height:1em
label,,.markdown-body .task-list-item label,✓ 支援,"font-weight:var(--base-text-weight-normal,400)"
label,,.markdown-body .task-list-item.enabled label,✓ 支援,cursor:pointer
ul,,.markdown-body ul:dir(rtl) .task-list-item-checkbox,✓ 支援,margin:0 -1.6em .25em .2em
ol,,.markdown-body ol:dir(rtl) .task-list-item-checkbox,✓ 支援,margin:0 -1.6em .25em .2em
title,,.markdown-body .markdown-alert .markdown-alert-title,✓ 支援,"display:flex; font-weight:var(--base-text-weight-medium,500); align-items:center; line-height:1"
title,,.markdown-body .markdown-alert.markdown-alert-note .markdown-alert-title,✓ 支援,color:var(--fgColor-accent)
title,,.markdown-body .markdown-alert.markdown-alert-important .markdown-alert-title,✓ 支援,color:var(--fgColor-done)
title,,.markdown-body .markdown-alert.markdown-alert-warning .markdown-alert-title,✓ 支援,color:var(--fgColor-attention)
title,,.markdown-body .markdown-alert.markdown-alert-tip .markdown-alert-title,✓ 支援,color:var(--fgColor-success)
title,,.markdown-body .markdown-alert.markdown-alert-caution .markdown-alert-title,✓ 支援,color:var(--fgColor-danger)
pre,,.markdown-body .highlight pre:has(+.zeroclipboard-container),✓ 支援,min-height:52px
h1,,.markdown-notice h1,✓ 支援,font-size:36px; font-weight:700; line-height:1.2
h2,,.markdown-notice h2,✓ 支援,font-size:28px; font-weight:700; line-height:1.3
h3,,.markdown-notice h3,✓ 支援,font-size:22px; font-weight:700; line-height:1.4
h4,,.markdown-notice h4,✓ 支援,font-size:18px; font-weight:600; line-height:1.4
h5,,.markdown-notice h5,✓ 支援,font-size:16px; font-weight:600; line-height:1.5
h6,,.markdown-notice h6,✓ 支援,font-size:14px; font-weight:600; line-height:1.5
p,,.markdown-notice p,✓ 支援,font-size:14px; font-weight:400; line-height:1.6
"ol, ul",,".markdown-notice ol,.markdown-notice ul",✓ 支援,font-size:14px; line-height:1.6; padding-left:2em
a,,.markdown-notice a,✓ 支援,color:#3170f9; text-decoration:none
"code, pre",,".markdown-notice code,.markdown-notice pre",✓ 支援,"font-size:13px; background-color:rgba(0,0,0,.05)"
blockquote,,.markdown-notice blockquote,✓ 支援,font-size:14px; font-style:italic; padding-left:1em; border-left:4px solid #3170f9; color:#666
