class名稱,分類,聊天室,角色介面,樣式
shadow-inner,定位,✓,✓,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-"
shadow-md,定位,✓,✓,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-"
shadow-xl,定位,✓,✓,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-"
snapshot-wall-masonry-column,定位,✓,✓,background-clip:padding-box; padding-left:16px
static,定位,✓,✓,position:static
sticky,定位,✓,✓,position:sticky
swiper-scrollbar-horizontal,定位,✓,✓,background-color:var(--color-dgray-800); border-radius:9999px; width:120px; height:4px; margin-top:1
text-left,定位,✓,✓,text-align:left
text-right,定位,✓,✓,text-align:right
to-amber-400,定位,✓,✓,"--tw-gradient-to:var(--color-amber-400); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gr"
to-blue-500,定位,✓,✓,"--tw-gradient-to:var(--color-blue-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gra"
to-blue-600,定位,✓,✓,"--tw-gradient-to:var(--color-blue-600); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gra"
to-current,定位,✓,✓,"--tw-gradient-to:currentcolor; --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-pos"
to-gray-900,定位,✓,✓,"--tw-gradient-to:var(--color-gray-900); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gra"
to-green-500,定位,✓,✓,"--tw-gradient-to:var(--color-green-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gr"
to-pink-500,定位,✓,✓,"--tw-gradient-to:var(--color-pink-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gra"
to-purple-500,定位,✓,✓,"--tw-gradient-to:var(--color-purple-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-g"
to-red-500,定位,✓,✓,"--tw-gradient-to:var(--color-red-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-grad"
to-rose-500,定位,✓,✓,"--tw-gradient-to:var(--color-rose-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gra"
to-transparent,定位,✓,✓,"--tw-gradient-to:transparent; --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-posi"
to-yellow-500,定位,✓,✓,"--tw-gradient-to:var(--color-yellow-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-g"
top-0,定位,✓,✓,top:calc(var(--spacing)*0)
top-1,定位,✓,✓,top:calc(var(--spacing)*1)
top-15,定位,✓,✓,top:calc(var(--spacing)*15)
top-2,定位,✓,✓,top:calc(var(--spacing)*2)
top-3,定位,✓,✓,top:calc(var(--spacing)*3)
top-4,定位,✓,✓,top:calc(var(--spacing)*4)
top-5,定位,✓,✓,top:calc(var(--spacing)*5)
top-6,定位,✓,✓,top:calc(var(--spacing)*6)
top-8,定位,✓,✓,top:calc(var(--spacing)*8)
via-current,定位,✓,✓,"--tw-gradient-via:currentcolor; --tw-gradient-via-stops:var(--tw-gradient-position),var(--tw-gradien"
via-pink-500,定位,✓,✓,"--tw-gradient-via:var(--color-pink-500); --tw-gradient-via-stops:var(--tw-gradient-position),var(--t"
via-red-500,定位,✓,✓,"--tw-gradient-via:var(--color-red-500); --tw-gradient-via-stops:var(--tw-gradient-position),var(--tw"
via-transparent,定位,✓,✓,"--tw-gradient-via:transparent; --tw-gradient-via-stops:var(--tw-gradient-position),var(--tw-gradient"
wedding-border-ornament,定位,✓,✓,"background-image:linear-gradient(var(--wedding-gold),var(--wedding-gold)),linear-gradient(var(--wedd"
wedding-floral-corner,定位,✓,✓,opacity:.15; pointer-events:none; width:80px; height:80px; position:absolute
z-0,定位,✓,✓,z-index:0
z-1,定位,✓,✓,z-index:1
z-10,定位,✓,✓,z-index:10
z-20,定位,✓,✓,z-index:20
z-30,定位,✓,✓,z-index:30
z-40,定位,✓,✓,z-index:40
z-50,定位,✓,✓,z-index:50
border,尺寸,✓,✓,border-style:var(--tw-border-style); border-width:1px
border-0,尺寸,✓,✓,border-style:var(--tw-border-style); border-width:0
border-1,尺寸,✓,✓,border-style:var(--tw-border-style); border-width:1px
border-2,尺寸,✓,✓,border-style:var(--tw-border-style); border-width:2px
border-4,尺寸,✓,✓,border-style:var(--tw-border-style); border-width:4px
container,尺寸,✓,✓,width:100% | max-width:40rem | max-width:48rem | max-width:64rem | max-width:80rem | max-width:96rem
h-0,尺寸,✓,✓,height:calc(var(--spacing)*0)
h-1,尺寸,✓,✓,height:calc(var(--spacing)*1)
h-10,尺寸,✓,✓,height:calc(var(--spacing)*10)
h-11,尺寸,✓,✓,height:calc(var(--spacing)*11)
h-12,尺寸,✓,✓,height:calc(var(--spacing)*12)
h-14,尺寸,✓,✓,height:calc(var(--spacing)*14)
h-15,尺寸,✓,✓,height:calc(var(--spacing)*15)
h-16,尺寸,✓,✓,height:calc(var(--spacing)*16)
h-2,尺寸,✓,✓,height:calc(var(--spacing)*2)
h-20,尺寸,✓,✓,height:calc(var(--spacing)*20)
h-3,尺寸,✓,✓,height:calc(var(--spacing)*3)
h-32,尺寸,✓,✓,height:calc(var(--spacing)*32)
h-33,尺寸,✓,✓,height:calc(var(--spacing)*33)
h-4,尺寸,✓,✓,height:calc(var(--spacing)*4)
h-40,尺寸,✓,✓,height:calc(var(--spacing)*40)
h-5,尺寸,✓,✓,height:calc(var(--spacing)*5)
h-6,尺寸,✓,✓,height:calc(var(--spacing)*6)
h-64,尺寸,✓,✓,height:calc(var(--spacing)*64)
h-7,尺寸,✓,✓,height:calc(var(--spacing)*7)
h-8,尺寸,✓,✓,height:calc(var(--spacing)*8)
h-9,尺寸,✓,✓,height:calc(var(--spacing)*9)
h-auto,尺寸,✓,✓,height:auto
h-dvh,尺寸,✓,✓,height:100dvh
h-full,尺寸,✓,✓,height:100%
h-px,尺寸,✓,✓,height:1px
