來源,變數名稱,值
10128161fe71f379.css, --container-xl,36rem
10128161fe71f379.css, --container-2xl,42rem
10128161fe71f379.css, --container-3xl,48rem
10128161fe71f379.css, --container-4xl,56rem
10128161fe71f379.css, --container-7xl,80rem
10128161fe71f379.css, --text-xs,.75rem
10128161fe71f379.css, --text-xs--line-height,calc(1/.75)
10128161fe71f379.css, --text-sm,.875rem
10128161fe71f379.css, --text-sm--line-height,calc(1.25/.875)
10128161fe71f379.css, --text-base,1rem
10128161fe71f379.css, --text-base--line-height,calc(1.5/1)
10128161fe71f379.css, --text-lg,1.125rem
10128161fe71f379.css, --text-lg--line-height,calc(1.75/1.125)
10128161fe71f379.css, --text-xl,1.25rem
10128161fe71f379.css, --text-xl--line-height,calc(1.75/1.25)
10128161fe71f379.css, --text-2xl,1.5rem
10128161fe71f379.css, --text-2xl--line-height,calc(2/1.5)
10128161fe71f379.css, --text-3xl,1.875rem
10128161fe71f379.css, --text-3xl--line-height,calc(2.25/1.875)
10128161fe71f379.css, --text-4xl,2.25rem
10128161fe71f379.css, --text-4xl--line-height,calc(2.5/2.25)
10128161fe71f379.css, --font-weight-light,300
10128161fe71f379.css, --font-weight-normal,400
10128161fe71f379.css, --font-weight-medium,500
10128161fe71f379.css, --font-weight-semibold,600
10128161fe71f379.css, --font-weight-bold,700
10128161fe71f379.css, --font-weight-extrabold,800
10128161fe71f379.css, --font-weight-black,900
10128161fe71f379.css, --tracking-tighter,-.05em
10128161fe71f379.css, --tracking-tight,-.025em
10128161fe71f379.css, --tracking-normal,0em
10128161fe71f379.css, --tracking-wide,.025em
10128161fe71f379.css, --tracking-wider,.05em
10128161fe71f379.css, --tracking-widest,.1em
10128161fe71f379.css, --leading-tight,1.25
10128161fe71f379.css, --leading-snug,1.375
10128161fe71f379.css, --leading-normal,1.5
10128161fe71f379.css, --leading-relaxed,1.625
10128161fe71f379.css, --leading-loose,2
10128161fe71f379.css, --radius-sm,.25rem
10128161fe71f379.css, --radius-md,.375rem
10128161fe71f379.css, --radius-lg,.5rem
10128161fe71f379.css, --radius-xl,.75rem
10128161fe71f379.css, --radius-2xl,1rem
10128161fe71f379.css, --radius-3xl,1.5rem
10128161fe71f379.css, --drop-shadow-lg,0 4px 4px #00000026
10128161fe71f379.css, --drop-shadow-2xl,0 25px 25px #00000026
10128161fe71f379.css, --ease-out,"cubic-bezier(0,0,.2,1)"
10128161fe71f379.css, --ease-in-out,"cubic-bezier(.4,0,.2,1)"
10128161fe71f379.css, --animate-spin,spin 1s linear infinite
10128161fe71f379.css, --animate-pulse,"pulse 2s cubic-bezier(.4,0,.6,1)infinite"
10128161fe71f379.css, --blur-sm,8px
10128161fe71f379.css, --blur-md,12px
10128161fe71f379.css, --blur-lg,16px
10128161fe71f379.css, --blur-xl,24px
10128161fe71f379.css, --aspect-video,16/9
10128161fe71f379.css, --default-transition-duration,.15s
10128161fe71f379.css, --default-transition-timing-function,"cubic-bezier(.4,0,.2,1)"
10128161fe71f379.css, --default-font-family,var(--font-pretendard)
10128161fe71f379.css, --default-mono-font-family,var(--font-mono)
10128161fe71f379.css, --font-pretendard,"""Pretendard Variable"",Pretendard,-apple-system,BlinkMacSystemFont,system-ui,""Roboto"",""Helvetica Neue"",""Segoe UI"",""Apple SD Gothic Neo"",""Noto Sans KR"",""Malgun Gothic"",""Apple Color Emoji"",""Segoe UI Emoj"
10128161fe71f379.css, --font-notoKr,"""Noto Serif KR"""
10128161fe71f379.css, --font-racing,"""Racing Sans One"",system-ui,sans-serif"
10128161fe71f379.css, --font-playfair,"""Playfair Display"",""Noto Serif KR"",Georgia,serif"
10128161fe71f379.css, --font-cormorant,"""Cormorant Garamond"",""Noto Serif KR"",Georgia,serif"
10128161fe71f379.css, --text-heading-medium,24px
10128161fe71f379.css, --aspect-poster,9/14
10128161fe71f379.css, --max-width-content,1920px
10128161fe71f379.css, --color-primary,var(--color-duck-pink2)
10128161fe71f379.css, --color-secondary,var(--color-dgray-800)
10128161fe71f379.css, --color-error,var(--color-red-500)
