class 名稱,分類,樣式（全部值）,使用範例
animate__slideOutDown,滑動 Slide,-webkit-animation-name:slideOutDown; animation-name:slideOutDown,"class=""animate__slideOutDown"""
animate__slideOutLeft,滑動 Slide,-webkit-animation-name:slideOutLeft; animation-name:slideOutLeft,"class=""animate__slideOutLeft"""
animate__slideOutRight,滑動 Slide,-webkit-animation-name:slideOutRight; animation-name:slideOutRight,"class=""animate__slideOutRight"""
animate__slideOutUp,滑動 Slide,-webkit-animation-name:slideOutUp; animation-name:slideOutUp,"class=""animate__slideOutUp"""
animate__rollIn,滾動 Roll,-webkit-animation-name:rollIn; animation-name:rollIn,"class=""animate__rollIn"""
animate__rollOut,滾動 Roll,-webkit-animation-name:rollOut; animation-name:rollOut,"class=""animate__rollOut"""
animate__hinge,特殊進出場,-webkit-animation-duration:calc(1s * 2); animation-duration:calc(1s * 2); -webkit-animation-duration:calc(var(--animate-duration) * 2); animation-duration:calc(var(--animate-duration) * 2); -webkit-animation-name:hinge; animation-name:hinge; -webkit-transform-origin:top left; transform-origin:top le,"class=""animate__hinge"""
animate__jackInTheBox,特殊進出場,-webkit-animation-name:jackInTheBox; animation-name:jackInTheBox,"class=""animate__jackInTheBox"""
animate__zoomIn,縮放 Zoom,-webkit-animation-name:zoomIn; animation-name:zoomIn,"class=""animate__zoomIn"""
animate__zoomInDown,縮放 Zoom,-webkit-animation-name:zoomInDown; animation-name:zoomInDown,"class=""animate__zoomInDown"""
animate__zoomInLeft,縮放 Zoom,-webkit-animation-name:zoomInLeft; animation-name:zoomInLeft,"class=""animate__zoomInLeft"""
animate__zoomInRight,縮放 Zoom,-webkit-animation-name:zoomInRight; animation-name:zoomInRight,"class=""animate__zoomInRight"""
animate__zoomInUp,縮放 Zoom,-webkit-animation-name:zoomInUp; animation-name:zoomInUp,"class=""animate__zoomInUp"""
animate__zoomOut,縮放 Zoom,-webkit-animation-name:zoomOut; animation-name:zoomOut,"class=""animate__zoomOut"""
animate__zoomOutDown,縮放 Zoom,-webkit-animation-name:zoomOutDown; animation-name:zoomOutDown; -webkit-transform-origin:center bottom; transform-origin:center bottom,"class=""animate__zoomOutDown"""
animate__zoomOutLeft,縮放 Zoom,-webkit-animation-name:zoomOutLeft; animation-name:zoomOutLeft; -webkit-transform-origin:left center; transform-origin:left center,"class=""animate__zoomOutLeft"""
animate__zoomOutRight,縮放 Zoom,-webkit-animation-name:zoomOutRight; animation-name:zoomOutRight; -webkit-transform-origin:right center; transform-origin:right center,"class=""animate__zoomOutRight"""
animate__zoomOutUp,縮放 Zoom,-webkit-animation-name:zoomOutUp; animation-name:zoomOutUp; -webkit-transform-origin:center bottom; transform-origin:center bottom,"class=""animate__zoomOutUp"""
animate__flip,翻轉 Flip,-webkit-backface-visibility:visible; backface-visibility:visible; -webkit-animation-name:flip; animation-name:flip,"class=""animate__flip"""
animate__flipInX,翻轉 Flip,-webkit-backface-visibility:visible!important; backface-visibility:visible!important; -webkit-animation-name:flipInX; animation-name:flipInX,"class=""animate__flipInX"""
animate__flipInY,翻轉 Flip,-webkit-backface-visibility:visible!important; backface-visibility:visible!important; -webkit-animation-name:flipInY; animation-name:flipInY,"class=""animate__flipInY"""
animate__flipOutX,翻轉 Flip,-webkit-animation-duration:calc(1s * .75); animation-duration:calc(1s * .75); -webkit-animation-duration:calc(var(--animate-duration) * .75); animation-duration:calc(var(--animate-duration) * .75); -webkit-animation-name:flipOutX; animation-name:flipOutX; -webkit-backface-visibility:visible!importan,"class=""animate__flipOutX"""
animate__flipOutY,翻轉 Flip,-webkit-animation-duration:calc(1s * .75); animation-duration:calc(1s * .75); -webkit-animation-duration:calc(var(--animate-duration) * .75); animation-duration:calc(var(--animate-duration) * .75); -webkit-backface-visibility:visible!important; backface-visibility:visible!important; -webkit-animatio,"class=""animate__flipOutY"""
