class名稱,分類,聊天室,角色介面,使用範例,樣式
animate__zoomInDown,縮放 Zoom,✓,✓,"class=""animate__zoomInDown""",-webkit-animation-name:zoomInDown; animation-name:zoomInDown
animate__zoomInLeft,縮放 Zoom,✓,✓,"class=""animate__zoomInLeft""",-webkit-animation-name:zoomInLeft; animation-name:zoomInLeft
animate__zoomInRight,縮放 Zoom,✓,✓,"class=""animate__zoomInRight""",-webkit-animation-name:zoomInRight; animation-name:zoomInRight
animate__zoomInUp,縮放 Zoom,✓,✓,"class=""animate__zoomInUp""",-webkit-animation-name:zoomInUp; animation-name:zoomInUp
animate__zoomOut,縮放 Zoom,✓,✓,"class=""animate__zoomOut""",-webkit-animation-name:zoomOut; animation-name:zoomOut
animate__zoomOutDown,縮放 Zoom,✓,✓,"class=""animate__zoomOutDown""",-webkit-animation-name:zoomOutDown; animation-name:zoomOutDown; -webkit-transfor
animate__zoomOutLeft,縮放 Zoom,✓,✓,"class=""animate__zoomOutLeft""",-webkit-animation-name:zoomOutLeft; animation-name:zoomOutLeft; -webkit-transfor
animate__zoomOutRight,縮放 Zoom,✓,✓,"class=""animate__zoomOutRight""",-webkit-animation-name:zoomOutRight; animation-name:zoomOutRight; -webkit-transf
animate__zoomOutUp,縮放 Zoom,✓,✓,"class=""animate__zoomOutUp""",-webkit-animation-name:zoomOutUp; animation-name:zoomOutUp; -webkit-transform-or
animate__flip,翻轉 Flip,✓,✓,"class=""animate__flip""",-webkit-backface-visibility:visible; backface-visibility:visible; -webkit-animat
animate__flipInX,翻轉 Flip,✓,✓,"class=""animate__flipInX""",-webkit-backface-visibility:visible!important; backface-visibility:visible!impor
animate__flipInY,翻轉 Flip,✓,✓,"class=""animate__flipInY""",-webkit-backface-visibility:visible!important; backface-visibility:visible!impor
animate__flipOutX,翻轉 Flip,✓,✓,"class=""animate__flipOutX""",-webkit-animation-duration:calc(1s * .75); animation-duration:calc(1s * .75); -w
animate__flipOutY,翻轉 Flip,✓,✓,"class=""animate__flipOutY""",-webkit-animation-duration:calc(1s * .75); animation-duration:calc(1s * .75); -w
